file	line	column	scope	package	production	family	api	env_bucket	env_expr	argv_expr	call_expr	enumeration_note	snapshot	enumeration_evidence	production_evidence	argv_trust	argv_trust_evidence	reachability	reachability_evidence	tier	environment_needs_if_bounded
agent/secret_sources/base.py	255	16	run_secret_cli	agent	yes	subprocess	subprocess.run	explicit_dict	env	list(argv)	subprocess.run( # noqa: S603 — argv list, no shell list(argv), env=env, capture_output=True, text=True, timeout=timeout, stdin=subprocess.DEVNULL, )	[VERIFIED: AST keyword/positional inspection] explicit env expression (not necessarily a literal dict)	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/secret_sources/bitwarden.py	184	19	_platform_asset_name	agent	yes	subprocess	subprocess.run	none		"[""ldd"", ""--version""]"	"subprocess.run( [""ldd"", ""--version""], capture_output=True, text=True, timeout=2, stdin=subprocess.DEVNULL, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[VERIFIED: source data-flow trace] The executable and argv shape are literals, internal constants, discovered runtime IDs, or Hermes-generated temporary paths.	model_reachable	[VERIFIED: source/caller trace] The site is reachable from agent runtime, gateway handling, a model-invoked tool, or a shipped skill.	TIER 2	PATH/executable lookup; platform bootstrap vars; locale; TMP/TEMP; the logged-in OS user/keychain session; no provider credential
agent/secret_sources/bitwarden.py	435	16	_run_bws_list	agent	yes	subprocess	subprocess.run	explicit_dict	env	cmd	subprocess.run( # noqa: S603 — bws path is trusted cmd, env=env, capture_output=True, text=True, timeout=_BWS_RUN_TIMEOUT, stdin=subprocess.DEVNULL, )	[VERIFIED: AST keyword/positional inspection] explicit env expression (not necessarily a literal dict)	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/secret_sources/onepassword.py	271	16	_run_op_read	agent	yes	subprocess	subprocess.run	boundary_builder	_op_child_env(token_value)	cmd	"subprocess.run( # noqa: S603 — op path is user-trusted, argv list cmd, env=_op_child_env(token_value), capture_output=True, text=True, encoding=""utf-8"", errors=""replace"", timeout=_OP_RUN_TIMEOUT, )"	[VERIFIED: AST keyword/positional inspection] recognized boundary-builder call by callee name	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/shell_hooks.py	463	16	_spawn	agent	yes	subprocess	subprocess.run	boundary_builder	hermes_subprocess_env()	argv	subprocess.run( argv, input=stdin_json, capture_output=True, timeout=spec.timeout, text=True, shell=False, env=hermes_subprocess_env(), **_popen_kwargs, )	[VERIFIED: AST keyword/positional inspection] recognized boundary-builder call by callee name	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/skill_preprocessing.py	74	21	run_inline_shell	agent	yes	subprocess	subprocess.run	boundary_builder	hermes_subprocess_env()	"[""bash"", ""-c"", command]"	"subprocess.run( [""bash"", ""-c"", command], cwd=str(cwd) if cwd else None, capture_output=True, text=True, timeout=max(1, int(timeout)), check=False, stdin=subprocess.DEVNULL, env=hermes_subprocess_env(), **_popen_kwargs, )"	[VERIFIED: AST keyword/positional inspection] recognized boundary-builder call by callee name	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/trace_upload.py	163	17	build_trace_jsonl	agent	yes	subprocess	subprocess.run	none		"[""git"", ""rev-parse"", ""--abbrev-ref"", ""HEAD""]"	"subprocess.run( [""git"", ""rev-parse"", ""--abbrev-ref"", ""HEAD""], capture_output=True, text=True, timeout=3, cwd=cwd, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	untrusted_influenced	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/transports/codex_app_server.py	132	22	CodexAppServerClient.__init__	agent	yes	subprocess	subprocess.Popen	explicit_dict	spawn_env	cmd	subprocess.Popen( cmd, stdin=subprocess.PIPE, stdout=subprocess.PIPE, stderr=subprocess.PIPE, bufsize=0, env=spawn_env, )	[VERIFIED: AST keyword/positional inspection] explicit env expression (not necessarily a literal dict)	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	not_ranked		not_ranked			not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
agent/transports/codex_app_server.py	391	16	check_codex_binary	agent	yes	subprocess	subprocess.run	none		"[codex_bin, ""--version""]"	"subprocess.run( [codex_bin, ""--version""], capture_output=True, text=True, timeout=10, stdin=subprocess.DEVNULL, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[VERIFIED: source data-flow trace] The executable and argv shape are literals, internal constants, discovered runtime IDs, or Hermes-generated temporary paths.	model_reachable	[VERIFIED: source/caller trace] The site is reachable from agent runtime, gateway handling, a model-invoked tool, or a shipped skill.	TIER 2	PATH/executable lookup; platform bootstrap vars; locale; TMP/TEMP; HOME/USERPROFILE and optional CODEX_HOME for Codex auth/config; RUST_LOG; explicitly bound Hermes routing context; no Claude token
batch_runner.py	276	25	_process_single_prompt	batch_runner	yes	subprocess	subprocess.run	none		"[""docker"", ""image"", ""inspect"", container_image]"	"_sp.run( [""docker"", ""image"", ""inspect"", container_image], capture_output=True, timeout=10, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	untrusted_influenced	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
batch_runner.py	283	28	_process_single_prompt	batch_runner	yes	subprocess	subprocess.run	none		"[""docker"", ""pull"", container_image]"	"_sp.run( [""docker"", ""pull"", container_image], capture_output=True, text=True, timeout=600, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
cli.py	1315	18	_git_repo_root	cli	yes	subprocess	subprocess.run	none		"[""git"", ""rev-parse"", ""--show-toplevel""]"	"subprocess.run( [""git"", ""rev-parse"", ""--show-toplevel""], capture_output=True, text=True, timeout=5, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
cli.py	1362	16	_resolve_worktree_base._git	cli	yes	subprocess	subprocess.run	none		"[""git"", *args]"	"subprocess.run( [""git"", *args], capture_output=True, text=True, timeout=timeout, cwd=repo_root, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	untrusted_influenced	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
cli.py	1461	18	_setup_worktree	cli	yes	subprocess	subprocess.run	none		"[""git"", ""worktree"", ""add"", str(wt_path), ""-b"", branch_name, base_ref]"	"subprocess.run( [""git"", ""worktree"", ""add"", str(wt_path), ""-b"", branch_name, base_ref], capture_output=True, text=True, timeout=30, cwd=repo_root, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	untrusted_influenced	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
cli.py	1475	26	_setup_worktree	cli	yes	subprocess	subprocess.run	none		"[""git"", ""worktree"", ""add"", str(wt_path), ""-b"", branch_name, base_ref]"	"subprocess.run( [""git"", ""worktree"", ""add"", str(wt_path), ""-b"", branch_name, base_ref], capture_output=True, text=True, timeout=30, cwd=repo_root, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	untrusted_influenced	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
cli.py	1556	9	_setup_worktree	cli	yes	subprocess	subprocess.run	none		"[""git"", ""worktree"", ""lock"", ""--reason"", f""hermes pid={os.getpid()}"", str(wt_path)]"	"subprocess.run( [""git"", ""worktree"", ""lock"", ""--reason"", f""hermes pid={os.getpid()}"", str(wt_path)], capture_output=True, text=True, timeout=10, cwd=repo_root, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
cli.py	1589	23	_worktree_has_unpushed_commits	cli	yes	subprocess	subprocess.run	none		"[""git"", ""for-each-ref"", ""--format=%(refname)"", ""refs/remotes""]"	"subprocess.run( [""git"", ""for-each-ref"", ""--format=%(refname)"", ""refs/remotes""], capture_output=True, text=True, timeout=timeout, cwd=worktree_path, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	untrusted_influenced	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
cli.py	1598	18	_worktree_has_unpushed_commits	cli	yes	subprocess	subprocess.run	none		"[""git"", ""log"", ""--oneline"", ""HEAD"", ""--not"", ""--remotes""]"	"subprocess.run( [""git"", ""log"", ""--oneline"", ""HEAD"", ""--not"", ""--remotes""], capture_output=True, text=True, timeout=timeout, cwd=worktree_path, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
cli.py	1619	18	_worktree_is_dirty	cli	yes	subprocess	subprocess.run	none		"[""git"", ""status"", ""--porcelain""]"	"subprocess.run( [""git"", ""status"", ""--porcelain""], capture_output=True, text=True, timeout=timeout, cwd=worktree_path, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
cli.py	1652	18	_worktree_lock_is_live	cli	yes	subprocess	subprocess.run	none		"[""git"", ""worktree"", ""list"", ""--porcelain""]"	"subprocess.run( [""git"", ""worktree"", ""list"", ""--porcelain""], capture_output=True, text=True, timeout=timeout, cwd=repo_root, )"	[VERIFIED: AST keyword/positional inspection] no env argument; child inherits the parent environment	bb1156bf6eef220708247698f154476f96adebe9	[VERIFIED: Python ast.parse/NodeVisitor at bb1156bf6eef220708247698f154476f96adebe9]	[VERIFIED: path taxonomy] production=yes excludes paths containing tests/test/testing/benchmarks/examples; blind spot: shipped scripts and skill helpers remain production by design.	fixed	[ASSUMED] Tier-3 trust uses a conservative nonliteral-argv heuristic; it does not affect the tier.	operator_only	[VERIFIED: source/caller trace] The containing path is reached by CLI, setup, installer, dashboard/TUI RPC, or maintenance entry points, not by model tool dispatch.	TIER 3	not_applicable [VERIFIED: ranking scope] Per-site boundary needs were requested only for Tier 1 and Tier 2.
